#OTUID	taxonomy	confidence
00006f0784f7dbb2f162408abb6da629	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	0.8212895889775012
000405fc80cd79f6be9850785545f77f	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae;D_5__MD3-55	0.9999979768915381
0008eaa2273f0f3b5fe8c23dfa8526b1	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Comamonas	0.9486563470851891
000daecb956351e902c405c0bea002cf	D_0__Bacteria	0.9989074014822105
001d7fe59fdb2c1a4747c4feb9a8f8ef	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter;D_6__uncultured organism	0.8715070989480661
00388366b55dd4edf42cc2ecacc844d1	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade;Ambiguous_taxa	0.9995238150857362
0048529de801781e95443ec85554284a	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Coxiellales;D_4__Coxiellaceae;D_5__Coxiella;D_6__uncultured bacterium	0.8762902506146316
004df6318adef99fc6c11b0600617b8f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__Aestuariibacter;Ambiguous_taxa	0.9194084471771399
005a74c1ad32aaf0ce86eb7f5affba17	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophycidae_X;Order.Coccolithales;Suborder.Coccolithales_X;Family.Hymenomonadaceae;Genus.Hymenomonadaceae_X;Species.Hymenomonadaceae_X	0.9959223163608606
006f13cfdb5335c7be74d99a6c1c9845	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae	0.9999999999998396
0070f3b300214879f818e520326f67e1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Tenacibaculum	0.9990708597668898
007de731051ee3cf0fd48984e11c9ddd	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9999999463237729
00966f2b8afe3dc61b3bebf8c001ef7e	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib;Ambiguous_taxa	0.776548094696462
009d805acce40d8ce328cf5a91166985	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium	0.8153914699248458
00c4972f7ebffb02ded6469ff9d4a388	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9972054152078481
00c4c1c65d8669ed9f07abe149f9a01d	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__OCS116 clade	0.9999999999323304
00d614592cfb0a84e590ac0c8a11fbae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium	0.8117695822437551
00e6c13fe86364a5084987093afa1916	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__SAR116 cluster bacterium REDSEA-S10_B10N8;D_6__SAR116 cluster bacterium REDSEA-S10_B10N8	0.7980115756986234
00fc57c5678172ad447d8cd04863d0ac	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__NRL2	0.9999983448438265
00fd743d2e70e1a5339d3f5a908abf40	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Nitrosomonadaceae;D_5__oc32;D_6__uncultured proteobacterium	0.8540384832555724
0122e66ac6c3276896f0d058f68a7ab9	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9988199084168783
